地名,センター,可燃ゴミ,ペットボトル,リサイクルプラ,資源ゴミ,有害ゴミ,その他プラ,大型ゴミ,不燃ゴミ
西区 三滝本町1丁目、2丁目 新庄町 三滝山,,火 金,木,木,月1 月3,月1 月3,月2 月4,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
西区 大宮1丁目～3丁目 大芝1丁目～3丁目 大芝公園、三篠北町 楠木町1丁目～4丁目 三篠町1丁目～3丁目,,火 金,木,木,月2 月4,月2 月4,月1 月3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140804 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
西区 横川町1丁目～3丁目 横川新町、打越町、三滝町,,火 金,木,木,水1 水3,水1 水3,水2 水4,20140407 20140421 20140512 20140519 20140602 20140616 20140707 20140723 20140804 20140818 20140901 20140922 20141006 20141020 20141110 20141117 20141201 20141215 20150107 20150119 20150202 20150216 20150302 20150316 *1,月2 月4
西区 中広町1丁目～3丁目,,火 金,木,木,水2 水4,水2 水4,水1 水3,20140414 20140421 20140512 20140526 20140609 20140623 20140714 20140728 20140818 20140825 20140908 20140922 20141015 20141027 20141110 20141119 20141208 20141222 20150107 20150126 20150209 20150223 20150309 20150323 *1,月1 月3
安佐南区 長束1丁目、2丁目、3丁目,,月 木,火,火,水1 水3,水1 水3,水2 水4,20140411 20140425 20140509 20140523 20140613 20140627 20140711 20140725 20140808 20140822 20140912 20140926 20141010 20141024 20141114 20141128 20141212 20141226 20150114 20150123 20150213 20150227 20150313 20150327 *1,金1 金3
安佐南区 長束4丁目、5丁目、6丁目 長束西1丁目、2丁目、3丁目、4丁目、5丁目 山本1丁目、2丁目、3丁目、4丁目、5丁目、6丁目、7丁目、8丁目、9丁目、山本町 山本新町1丁目、2丁目、3丁目、4丁目、5丁目,,月 木,火,火,金1 金3,金1 金3,金2 金4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150213 20150225 20150311 20150325 *1,水1 水3
安佐南区 古市3丁目、4丁目 中須1丁目、2丁目 大町東1丁目、2丁目、3丁目、4丁目,,月 木,水,水,火1 火3,火1 火3,火2 火4,20140404 20140418 20140516 20140527 20140606 20140620 20140704 20140718 20140801 20140815 20140905 20140919 20141003 20141017 20141107 20141121 20141205 20141219 20150116 20150127 20150206 20150220 20150306 20150320 *1,金2 金4
安佐南区 古市1丁目、2丁目 中筋1丁目、2丁目、3丁目,,月 木,金,金,火1 火3,火1 火3,火2 火4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150210 20150225 20150311 20150325 *1,水1 水3
安佐南区 祇園1丁目、2丁目、3丁目、4丁目、5丁目、6丁目、7丁目、8丁目 西原1丁目,,月 木,金,金,水1 水3,水1 水3,水2 水4,20140408 20140422 20140513 20140527 20140610 20140624 20140708 20140722 20140812 20140826 20140909 20140924 20141014 20141028 20141111 20141125 20141209 20141224 20150113 20150127 20150210 20150224 20150310 20150324 *1,火1 火3
安佐南区 大町西1丁目、2丁目、3丁目 相田1丁目、2丁目、3丁目、4丁目、5丁目、6丁目、7丁目 相田町 高取南1丁目、2丁目、3丁目 高取南町、川内1丁目、2丁目、3丁目、4丁目,,月 木,水,水,金2 金4,金2 金4,金1 金3,20140401 20140415 20140513 20140520 20140603 20140617 20140701 20140715 20140805 20140819 20140902 20140916 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 *1,火2 火4
安佐南区 西原2丁目、3丁目、4丁目、5丁目、6丁目、7丁目、8丁目、9丁目 東原1丁目、2丁目、3丁目,,月 木,金,金,火2 火4,火2 火4,火1 火3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140805 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
安佐南区 東野1丁目、2丁目、3丁目 中筋4丁目,,月 木,金,金,水2 水4,水2 水4,水1 水3,20140401 20140415 20140507 20140520 20140603 20140617 20140701 20140715 20140805 20140819 20140902 20140916 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 *1,火2 火4
安佐南区 吉山緑ヶ丘町内会 上吉山町内会、下吉山町内会 阿戸町内会、阿戸下町内会 中王町内会、奥畑町内会 伴ハイツ町内会、上伴町内会　　下地町内会 瀬戸内ハイツ自治会 細坂町内会、広陵町内会 雲願寺町内会、若葉台町内会,,火 金,水,水,月1 月3,月1 月3,月2 月4,20140403 20140417 20140515 20140526 20140605 20140619 20140703 20140717 20140807 20140821 20140904 20140918 20141002 20141016 20141106 20141120 20141204 20141218 20150115 20150126 20150205 20150219 20150305 20150319 *1,木2 木4
安佐南区 三城田町内会、松宗町内会 下向町内会 サーパス沼田町内会 ライオンズマンション大原駅前町内会 大原台町内会 グリーンヒル大原町内会 大原町内会、藤興園町内会 大塚上町内会、大塚下町内会 伴中央町内会 下城ハイツ町内会,,火 金,水,水,月1 月3,月1 月3,月2 月4,20140410 20140424 20140508 20140522 20140612 20140626 20140710 20140724 20140814 20140828 20140911 20140925 20141009 20141023 20141113 20141127 20141211 20141225 20150108 20150122 20150212 20150226 20150312 20150326 *1,木1 木3
安佐南区 A.CITY自治会 花の季台自治会 こころ自治会 長楽寺1丁目、2丁目、3丁目,,火 金,水,水,木1 木3,木1 木3,木2 木4,20140414 20140424 20140512 20140526 20140609 20140623 20140714 20140728 20140814 20140825 20140908 20140922 20141009 20141027 20141110 20141127 20141208 20141222 20150119 20150126 20150209 20150223 20150309 20150323 *1,月1 月3
安佐南区 毘沙門台1丁目、2丁目、3丁目、4丁目 毘沙門台東1丁目、2丁目 安東1丁目、2丁目、3丁目、4丁目、5丁目、6丁目、7丁目,,火 金,水,水,木2 木4,木2 木4,木1 木3,20140407 20140421 20140519 20140526 20140602 20140616 20140707 20140717 20140804 20140818 20140901 20140918 20141006 20141020 20141106 20141117 20141201 20141215 20150119 20150126 20150202 20150216 20150302 20150316 *1,月2 月4
安佐南区 上安1丁目、2丁目、3丁目、4丁目、5丁目、6丁目、7丁目,,火 金,月,月,水2 水4,水2 水4,水1 水3,20140410 20140424 20140508 20140522 20140612 20140626 20140710 20140724 20140814 20140828 20140911 20140925 20141009 20141023 20141113 20141127 20141211 20141225 20150107 20150122 20150212 20150226 20150312 20150326 *1,木1 木3
安佐南区 高取北1丁目、2丁目、3丁目、4丁目,,火 金,月,月,水1 水3,水1 水3,水2 水4,20140403 20140417 20140515 20140528 20140605 20140619 20140703 20140717 20140807 20140821 20140904 20140918 20141002 20141016 20141106 20141120 20141204 20141218 20150115 20150128 20150205 20150219 20150305 20150319 *1,木2 木4
安佐南区 八木3丁目、4丁目、5丁目、6丁目、7丁目、8丁目、9丁目 八木町 緑井2丁目、3丁目、4丁目 緑井7丁目、8丁目,,火 金,木,木,月2 月4,月2 月4,月1 月3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140804 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
安佐南区 八木1丁目、2丁目 緑井1丁目、5丁目、6丁目 川内5丁目、6丁目,,火 金,木,木,水2 水4,水2 水4,水1 水3,20140407 20140421 20140507 20140519 20140602 20140616 20140707 20140716 20140804 20140818 20140901 20140917 20141006 20141020 20141105 20141117 20141201 20141215 20150107 20150119 20150202 20150216 20150302 20150316 *1,月2 月4
安佐北区 あさひが丘1丁目～9丁目 毛木、動物園、後山 宮野、筒瀬,,月 木,火,火,水2 水4,水2 水4,水1 水3,20140404 20140418 20140507 20140516 20140606 20140620 20140704 20140718 20140801 20140815 20140905 20140919 20141003 20141017 20141107 20141121 20141205 20141219 20150107 20150116 20150206 20150220 20150306 20150320 *1,金2 金4
安佐北区 久地、くすの木台 鈴張、小河内、飯室,,月 木,火,火,水2 水4,水2 水4,水1 水3,20140411 20140425 20140509 20140523 20140613 20140627 20140711 20140725 20140808 20140822 20140912 20140926 20141010 20141024 20141114 20141128 20141212 20141226 20150109 20150123 20150213 20150227 20150313 20150327 *1,金1 金3
安佐北区 今井田 亀山1丁目～4丁目、7丁目 亀山南1丁目～5丁目,,月 木,水,水,金1 金3,金1 金3,金2 金4,20140408 20140422 20140513 20140527 20140610 20140624 20140708 20140722 20140812 20140826 20140909 20140926 20141014 20141028 20141111 20141125 20141209 20141226 20150113 20150127 20150210 20150224 20150310 20150324 *1,火1 火3
安佐北区 可部1丁目～5丁目 可部南1丁目～5丁目 可部東1丁目～6丁目,,月 木,水,水,金2 金4,金2 金4,金1 金3,20140401 20140415 20140513 20140520 20140603 20140617 20140701 20140715 20140805 20140819 20140902 20140916 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 *1,火2 火4
安佐北区 亀山5丁目、6丁目、8丁目、9丁目 亀山西1丁目、2丁目、勝木,,月 木,金,金,火2 火4,火2 火4,火1 火3,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150217 20150225 20150311 20150325 *1,水1 水3
安佐北区 可部6丁目～9丁目 上町屋、下町屋、南原、綾ヶ谷 三入7丁目、三入南1丁目,,月 木,金,金,火2 火4,火2 火4,火1 火3,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150217 20150225 20150311 20150325 *1,水1 水3
安佐北区 三入1丁目～6丁目 三入南2丁目 三入東1丁目、2丁目、桐原,,月 木,金,金,火1 火3,火1 火3,火2 火4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150210 20150225 20150311 20150325 *1,水1 水3
安佐北区 大林1丁目～4丁目 大林町,,月 木,金,金,火1 火3,火1 火3,火2 火4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150210 20150225 20150311 20150325 *1,水1 水3
安佐北区 白木町全域,,火 金,月,月,水1 水3,水1 水3,水2 水4,20140410 20140424 20140508 20140522 20140612 20140626 20140710 20140724 20140814 20140828 20140911 20140925 20141009 20141023 20141113 20141127 20141211 20141225 20150108 20150122 20150212 20150226 20150312 20150326 *1,木1 木3
安佐北区 小河原町、狩留家町 上深川町,,火 金,月,月,水1 水3,水1 水3,水2 水4,20140403 20140417 20140508 20140515 20140605 20140619 20140703 20140717 20140807 20140821 20140904 20140918 20141002 20141016 20141106 20141120 20141204 20141218 20150108 20150115 20150205 20150219 20150305 20150319 *1,木2 木4
安佐北区 深川町 深川1丁目～8丁目,,火 金,水,水,木1 木3,木1 木3,木2 木4,20140414 20140424 20140512 20140526 20140609 20140623 20140714 20140728 20140814 20140825 20140908 20140922 20141009 20141027 20141110 20141127 20141208 20141222 20150119 20150126 20150209 20150223 20150309 20150323 *1,月1 月3
安佐北区 亀崎1丁目～4丁目 倉掛1丁目～3丁目 落合南6丁目～9丁目,,火 金,水,水,木1 木3,木1 木3,木2 木4,20140414 20140424 20140512 20140526 20140609 20140623 20140714 20140728 20140814 20140825 20140908 20140922 20141009 20141027 20141110 20141127 20141208 20141222 20150119 20150126 20150209 20150223 20150309 20150323 *1,月1 月3
安佐北区 落合1丁目～5丁目、落合町 真亀1丁目～5丁目,,火 金,水,水,木2 木4,木2 木4,木1 木3,20140407 20140421 20140512 20140519 20140602 20140616 20140707 20140717 20140804 20140818 20140901 20140918 20141006 20141020 20141106 20141117 20141201 20141215 20150115 20150126 20150202 20150216 20150302 20150316 *1,月2 月4
安佐北区 落合南1丁目（44番街区を除く） 落合南2丁目～5丁目 落合南町,,火 金,木,木,月2 月4,月2 月4,月1 月3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140804 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
安佐北区 口田1丁目～5丁目 口田町,,火 金,木,木,月2 月4,月2 月4,月1 月3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140804 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
安佐北区 落合南1丁目44番街区 口田南1丁目～9丁目 口田南町,,火 金,木,木,月1 月3,月1 月3,月2 月4,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
安芸区 瀬野南町、瀬野南1丁目 上瀬野町、上瀬野1丁目、2丁目 上瀬野南1丁目、2丁目,,火 金,水,水,月1 月3,月1 月3,月2 月4,20140410 20140424 20140508 20140522 20140612 20140626 20140710 20140724 20140814 20140828 20140911 20140925 20141009 20141023 20141113 20141127 20141211 20141225 20150108 20150122 20150212 20150226 20150312 20150326 *1,木1 木3
安芸区 瀬野1丁目、2丁目、3丁目、4丁目、5丁目 瀬野町 瀬野西1丁目、2丁目、3丁目、4丁目、5丁目、6丁目,,火 金,水,水,月1 月3,月1 月3,月2 月4,20140403 20140417 20140508 20140515 20140605 20140619 20140703 20140717 20140807 20140821 20140904 20140918 20141002 20141016 20141106 20141120 20141204 20141218 20150108 20150115 20150205 20150219 20150305 20150319 *1,木2 木4
安芸区 中野東1丁目、2丁目、3丁目、4丁目、5丁目,,火 金,木,木,月2 月4,月2 月4,月1 月3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140804 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
安芸区 中野4丁目、5丁目、6丁目、7丁目 中野町、中野東6丁目、7丁目 中野東町,,火 金,水,水,木1 木3,木1 木3,木2 木4,20140414 20140424 20140512 20140526 20140609 20140623 20140714 20140728 20140814 20140825 20140908 20140922 20141009 20141027 20141110 20141127 20141208 20141222 20150119 20150126 20150209 20150223 20150309 20150323 *1,月1 月3
安芸区 船越1丁目、2丁目、3丁目、4丁目、5丁目、6丁目,,月 木,水,水,金2 金4,金2 金4,金1 金3,20140401 20140415 20140513 20140520 20140603 20140617 20140701 20140715 20140805 20140819 20140902 20140916 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 *1,火2 火4
安芸区 船越南1丁目、2丁目、3丁目、4丁目、5丁目,,月 木,火,火,水2 水4,水2 水4,水1 水3,20140404 20140418 20140509 20140516 20140606 20140620 20140704 20140718 20140801 20140815 20140905 20140919 20141003 20141017 20141107 20141121 20141205 20141219 20150109 20150116 20150206 20150220 20150306 20150320 *1,金2 金4
安芸区 畑賀1丁目、2丁目、3丁目 畑賀町 中野1丁目、2丁目、3丁目,,月 木,水,水,金1 金3,金1 金3,金2 金4,20140408 20140422 20140513 20140527 20140610 20140624 20140708 20140722 20140812 20140826 20140909 20140926 20141014 20141028 20141111 20141125 20141209 20141226 20150113 20150127 20150210 20150224 20150310 20150324 *1,火1 火3
安芸区 矢野南1丁目、2丁目、3丁目、4丁目、5丁目,,月 木,金,金,火2 火4,火2 火4,火1 火3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140805 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
安芸区 矢野町、寺屋敷、寺屋敷団地 矢野東1丁目、2丁目、3丁目、4丁目、5丁目、6丁目、7丁目,,火 金,木,木,水1 水3,水1 水3,水2 水4,20140407 20140421 20140512 20140519 20140602 20140616 20140707 20140723 20140804 20140818 20140901 20140922 20141006 20141020 20141110 20141117 20141201 20141215 20150114 20150126 20150202 20150216 20150302 20150316 *1,月2 月4
安芸区 矢野西1丁目、3丁目、4丁目、5丁目、6丁目、7丁目,,月 木,金,金,火1 火3,火1 火3,火2 火4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150210 20150225 20150311 20150325 *1,水1 水3
安芸区 阿戸町,,火 金,月,月,木2 木4,木2 木4,木1 木3,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150205 20150225 20150311 20150325 *1,水1 水3
安芸区 矢野新町1丁目、2丁目 矢野西2丁目,,月 木,火,火,水2 水4,水2 水4,水1 水3,20140411 20140425 20140509 20140523 20140613 20140627 20140711 20140725 20140808 20140822 20140912 20140926 20141010 20141024 20141114 20141128 20141212 20141226 20150109 20150123 20150213 20150227 20150313 20150327 *1,金1 金3
佐伯区 屋代1丁目～3丁目 屋代町,,月 木,火,火,水2 水4,水2 水4,水1 水3,20140404 20140418 20140507 20140516 20140606 20140620 20140704 20140718 20140801 20140815 20140905 20140919 20141003 20141017 20141107 20141121 20141205 20141219 20150107 20150116 20150206 20150220 20150306 20150320 *1,金2 金4
佐伯区 隅の浜1丁目～3丁目 三筋1丁目～3丁目 美の里1丁目、2丁目,,月 木,火,火,金1 金3,金1 金3,金2 金4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150213 20150225 20150311 20150325 *1,水1 水3
佐伯区 旭園、海老園1丁目～4丁目 海老山南1丁目、2丁目 海老山町、吉見園、藤垂園 五日市港１丁目～4丁目,,月 木,水,水,火2 火4,火2 火4,火1 火3,20140411 20140425 20140509 20140523 20140613 20140627 20140711 20140725 20140808 20140822 20140912 20140926 20141010 20141024 20141114 20141128 20141212 20141226 20150109 20150123 20150213 20150227 20150313 20150327 *1,金1 金3
佐伯区 楽々園1丁目～6丁目,,月 木,水,水,金1 金3,金1 金3,金2 金4,20140408 20140422 20140513 20140527 20140610 20140624 20140708 20140722 20140812 20140826 20140909 20140926 20141014 20141028 20141111 20141125 20141209 20141226 20150113 20150127 20150210 20150224 20150310 20150324 *1,火1 火3
佐伯区 五日市1丁目～7丁目 五日市中央4丁目～7丁目,,月 木,水,水,金2 金4,金2 金4,金1 金3,20140401 20140415 20140513 20140520 20140603 20140617 20140701 20140715 20140805 20140819 20140902 20140916 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 *1,火2 火4
佐伯区 観音台2丁目～4丁目 倉重1丁目～3丁目 城山1丁目、2丁目 千同1丁目～3丁目 薬師が丘1丁目～4丁目,,月 木,金,金,火1 火3,火1 火3,火2 火4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150210 20150225 20150311 20150325 *1,水1 水3
佐伯区 観音台1丁目 坪井1丁目～3丁目、坪井町 三宅1丁目～6丁目、三宅町,,月 木,金,金,水2 水4,水2 水4,水1 水3,20140408 20140422 20140513 20140527 20140610 20140624 20140708 20140722 20140812 20140826 20140909 20140917 20141014 20141028 20141111 20141125 20141209 20141217 20150113 20150127 20150210 20150224 20150310 20150324 *1,火1 火3
佐伯区 五日市中央1丁目～3丁目,,月 木,水,水,火2 火4,火2 火4,火1 火3,20140404 20140418 20140509 20140516 20140606 20140620 20140704 20140718 20140801 20140815 20140905 20140919 20141003 20141017 20141107 20141121 20141205 20141219 20150109 20150116 20150206 20150220 20150306 20150320 *1,金2 金4
佐伯区 藤の木1丁目～4丁目,,火 金,月,月,水1 水3,水1 水3,水2 水4,20140403 20140417 20140508 20140515 20140605 20140619 20140703 20140717 20140807 20140821 20140904 20140918 20141002 20141016 20141106 20141120 20141204 20141218 20150108 20150115 20150205 20150219 20150305 20150319 *1,木2 木4
佐伯区 五日市駅前1丁目～3丁目 新宮苑 皆賀1丁目～4丁目,,火 金,水,水,月2 月4,月2 月4,月1 月3,20140410 20140424 20140508 20140522 20140612 20140626 20140710 20140724 20140814 20140828 20140911 20140925 20141009 20141023 20141113 20141127 20141211 20141225 20150108 20150122 20150212 20150226 20150312 20150326 *1,木1 木3
佐伯区 美鈴園、大字皆賀 昭和台,,火 金,水,水,月2 月4,月2 月4,月1 月3,20140403 20140417 20140508 20140515 20140605 20140619 20140703 20140717 20140807 20140821 20140904 20140918 20141002 20141016 20141106 20141120 20141204 20141218 20150108 20150115 20150205 20150219 20150305 20150319 *1,木2 木4
佐伯区 美鈴が丘東1丁目～5丁目 美鈴が丘西1丁目～5丁目 美鈴が丘南1丁目～4丁目 美鈴が丘緑1丁目～3丁目,,火 金,水,水,木1 木3,木1 木3,木2 木4,20140414 20140424 20140512 20140526 20140609 20140623 20140714 20140728 20140814 20140825 20140908 20140922 20141009 20141027 20141110 20141127 20141208 20141222 20150119 20150126 20150209 20150223 20150309 20150323 *1,月1 月3
佐伯区 利松1丁目、八幡1丁目～5丁目 八幡東1丁目～4丁目 八幡が丘1丁目、2丁目,,火 金,水,水,木2 木4,木2 木4,木1 木3,20140407 20140421 20140512 20140519 20140602 20140616 20140707 20140717 20140804 20140818 20140901 20140918 20141006 20141020 20141106 20141117 20141201 20141215 20150119 20150126 20150202 20150216 20150302 20150316 *1,月2 月4
佐伯区 五月が丘1丁目～5丁目 利松2丁目、3丁目 石内、石内上 石内南1丁目～5丁目 石内北1丁目、2丁目、4丁目、5丁目,,火 金,木,木,月1 月3,月1 月3,月2 月4,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140820 20140827 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
佐伯区 河内南1丁目、2丁目,,火 金,木,木,水1 水3,水1 水3,水2 水4,20140414 20140423 20140512 20140526 20140609 20140623 20140714 20140728 20140813 20140825 20140908 20140922 20141008 20141027 20141110 20141126 20141208 20141222 20150114 20150126 20150209 20150223 20150309 20150323 *1,月1 月3
佐伯区 上河内、上小深川 下河内、下小深川,,火 金,木,木,水1 水3,水1 水3,水2 水4,20140407 20140421 20140512 20140519 20140602 20140616 20140707 20140723 20140804 20140818 20140901 20140910 20141006 20141020 20141117 20141126 20141201 20141215 20150119 20150126 20150202 20150216 20150302 20150316 *1,月2 月4
佐伯区 日浦畑町内会、葛郷町内会 大古谷大野原町内会 土井町内会、木末町内会 峠町内会、中川角町内会 下川角町内会 東川角町内会 ハーブヒルズ町内会,,月 木,水,水,金1 金3,金1 金3,金2 金4,20140408 20140422 20140513 20140527 20140610 20140624 20140708 20140722 20140812 20140826 20140909 20140926 20141014 20141028 20141111 20141125 20141209 20141226 20150113 20150127 20150210 20150224 20150310 20150324 *1,火1 火3
佐伯区 麦谷下一町内会 麦谷下二町内会 上五原一町内会 上五原二町内会 下五原一町内会 下五原二町内会 津伏町内会 久日市町内会、宇佐町内会,,月 木,金,金,水1 水3,水1 水3,水2 水4,20140408 20140422 20140513 20140527 20140610 20140624 20140708 20140722 20140812 20140826 20140909 20140924 20141014 20141028 20141111 20141125 20141209 20141224 20150113 20150127 20150210 20150224 20150310 20150324 *1,火1 火3
佐伯区 杉並台,,月 木,水,水,火1 火3,火1 火3,火2 火4,20140411 20140425 20140509 20140523 20140613 20140627 20140711 20140725 20140808 20140822 20140912 20140926 20141010 20141024 20141114 20141128 20141212 20141226 20150109 20150123 20150213 20150227 20150313 20150327 *1,金1 金3
佐伯区 大谷町内会、雲出町内会 上本多田町内会 中本多田町内会 下本多田町内会 小多田町内会、志井町内会 来栖根町内会、日入谷町内会 湯来町内会、向井谷町内会 上打尾谷一町内会 上打尾谷二町内会 上田布町内会 下打尾谷一町内会 下田布町内会 下打尾谷二町内会 粟柱町内会 下打尾谷三町内会 志割町内会 中組町内会、石ヶ原町内会 和田一町内会、和田二町内会 和田三町内会、和田四町内会 上麦谷一町内会、上麦谷二町内会,,火 金,木,木,月1 月3,月1 月3,月2 月4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150209 20150225 20150311 20150325 *1,水1 水3
佐伯区 棡町内会、白砂台町内会 重光町内会、鹿の道町内会 大山町内会 八幡原共同町内会 古塚町内会、小伏原町内会 大畑町内会、北谷町内会 伏郷町内会 湯来ハイランド町内会 大野町内会、下伏町内会 黒谷町内会,,火 金,水,水,木1 木3,木1 木3,木2 木4,20140414 20140424 20140512 20140526 20140609 20140623 20140714 20140728 20140814 20140825 20140908 20140922 20141009 20141027 20141110 20141127 20141208 20141222 20150119 20150126 20150209 20150223 20150309 20150323 *1,月1 月3
